id,questionusageid,questionid,userid,responsesummary,rightanswer,fraction,timecreated
1,1,2,8,,Doğru,0.23,1709220059
2,1,4,8,,Doğru,0.13,1709220687
3,1,6,8,,Doğru,0.46,1709221241
4,1,7,8,,Doğru,0.33,1709222100
5,2,1,13,Yanıt,Doğru,1.0,1709220063
6,2,2,13,Yanıt,Doğru,1.0,1709220622
7,2,3,13,,Doğru,0.14,1709220900
8,2,4,13,Yanıt,Doğru,1.0,1709220959
9,2,5,13,,Doğru,0.34,1709221147
10,2,6,13,,Doğru,0.34,1709221540
11,2,7,13,,Doğru,0.32,1709221830
12,2,8,13,,Doğru,0.22,1709222240
13,2,9,13,,Doğru,0.15,1709222243
14,2,10,13,,Doğru,0.25,1709222246
15,3,1,19,,Doğru,0.07,1709221509
16,3,2,19,Yanıt,Doğru,1.0,1709221597
17,3,3,19,Yanıt,Doğru,1.0,1709221651
18,3,4,19,Yanıt,Doğru,1.0,1709221689
19,3,5,19,,Doğru,0.25,1709222076
20,3,8,19,,Doğru,0.49,1709222208
21,3,10,19,Yanıt,Doğru,1.0,1709222292
22,4,1,32,Yanıt,Doğru,1.0,1709221241
23,4,5,32,,Doğru,0.18,1709221652
24,4,6,32,Yanıt,Doğru,1.0,1709221874
25,4,7,32,,Doğru,0.3,1709221920
26,4,10,32,,Doğru,0.27,1709222111
27,5,1,34,Yanıt,Doğru,1.0,1709219569
28,5,2,34,,Doğru,0.26,1709219900
29,5,3,34,Yanıt,Doğru,1.0,1709219964
30,5,4,34,Yanıt,Doğru,1.0,1709220187
31,5,5,34,Yanıt,Doğru,1.0,1709221139
32,5,6,34,,Doğru,0.28,1709222201
33,5,7,34,Yanıt,Doğru,1.0,1709222399
34,5,8,34,,Doğru,0.45,1709222400
35,5,9,34,,Doğru,0.07,1709222402
36,5,10,34,Yanıt,Doğru,1.0,1709222403
37,6,2,43,,Doğru,0.18,1709220850
38,6,3,43,Yanıt,Doğru,1.0,1709221017
39,6,7,43,Yanıt,Doğru,1.0,1709221303
40,6,10,43,,Doğru,0.31,1709221779
41,7,1,45,Yanıt,Doğru,1.0,1709222023
42,7,3,45,Yanıt,Doğru,1.0,1709222036
43,7,4,45,,Doğru,0.42,1709222108
44,7,7,45,Yanıt,Doğru,1.0,1709222192
45,7,8,45,,Doğru,0.19,1709222210
46,7,9,45,Yanıt,Doğru,1.0,1709222261
47,8,2,53,,Doğru,0.18,1709218865
48,8,5,53,Yanıt,Doğru,1.0,1709219098
49,8,6,53,,Doğru,0.18,1709219189
50,8,7,53,,Doğru,0.28,1709219700
51,8,8,53,,Doğru,0.34,1709219911
52,9,2,55,Yanıt,Doğru,1.0,1709219227
53,9,3,55,,Doğru,0.01,1709219998
54,9,4,55,Yanıt,Doğru,1.0,1709220085
55,9,5,55,,Doğru,0.09,1709220218
56,9,8,55,,Doğru,0.27,1709220547
57,9,9,55,,Doğru,0.4,1709220678
58,10,1,58,,Doğru,0.36,1709222018
59,10,2,58,Yanıt,Doğru,1.0,1709222056
60,10,3,58,Yanıt,Doğru,1.0,1709222100
61,10,4,58,Yanıt,Doğru,1.0,1709222121
62,10,5,58,,Doğru,0.02,1709222218
63,10,6,58,,Doğru,0.41,1709222309
64,10,7,58,Yanıt,Doğru,1.0,1709222399
65,10,8,58,,Doğru,0.49,1709222401
66,10,9,58,Yanıt,Doğru,1.0,1709222403
67,10,10,58,,Doğru,0.07,1709222403
68,11,6,73,Yanıt,Doğru,1.0,1709219795
69,11,10,73,,Doğru,0.3,1709219933
70,12,1,83,,Doğru,0.3,1709219607
71,12,2,83,,Doğru,0.05,1709220493
72,12,3,83,Yanıt,Doğru,1.0,1709220551
73,12,5,83,Yanıt,Doğru,1.0,1709220691
74,12,7,83,,Doğru,0.32,1709220710
75,12,9,83,Yanıt,Doğru,1.0,1709220911
76,12,10,83,,Doğru,0.14,1709221616
77,13,1,95,,Doğru,0.04,1709219484
78,13,2,95,Yanıt,Doğru,1.0,1709220278
79,13,3,95,,Doğru,0.19,1709220662
80,13,4,95,Yanıt,Doğru,1.0,1709221057
81,13,5,95,,Doğru,0.4,1709221195
82,13,6,95,Yanıt,Doğru,1.0,1709221921
83,13,7,95,Yanıt,Doğru,1.0,1709222000
84,13,8,95,Yanıt,Doğru,1.0,1709222001
85,13,9,95,,Doğru,0.08,1709222003
86,13,10,95,Yanıt,Doğru,1.0,1709222003
87,14,1,96,Yanıt,Doğru,1.0,1709220579
